InputID,TargetID,Distance
Arbor Oaks,F Parking Lot 8,0.00420756773879
Brazos House,F parking Lot 12,0.00219482478801
Arlington Hall,F parking Lot 12,0.00284406123166
Business Building,F parking lot10,0.00287073534074
Campus Center,Faculty Parking lot7,0.00098173399024
Central Library,F parking lot10,0.00183438653139
Carlisle Hall,F parking Lot 12,0.00246091545363
Chemistry & Physics Building,F parking Lot 12,0.00250070514382
Chemistry Research Building,F parking lot10,0.00257457710956
College Park Center,F parking Lot 12,0.0042218427495
College Hall,F parking Lot 12,0.00208546860444
Continuing Education,F parking lot10,0.00449654343911
Cooper Chase,Faculty Parking lot7,0.00107324370336
Dan Dipert Welcome Center,F parking Lot 12,0.0040975563972
Davis Hall,F parking lot 9,0.000900391607659
Engineering Lab Building,F parking Lot 12,0.00126381098996
Civil Engineering Lab Building,F Parking Lot 8,0.00937209458414
Engineering Research Building,F parking Lot 12,0.00136820896315
General Academic Classroom Building,F Parking lot 15,0.000917134241089
Geoscience,Faculty Parking lot7,0.00133105779322
Greek Houses,F Parking Lot 8,0.00615331035972
Lipscomb Hall,F parking lot10,0.0047504086089
Hammond Hall,F parking lot10,0.00204661523373
Health Center,F parking Lot 12,0.00259446915002
Kalpana Chawla Hall,F parking lot10,0.00340857481926
Life Sciences Building,F parking lot10,0.000927435946214
Maverick Parking Garage,F parking lot10,0.00193993799308
Maverick Stadium,F Parking Lot 8,0.00983366727674
Meadow Run,F Parking Lot 8,0.00446281014322
Nanotech Building,Faculty Parking lot7,0.000619980537663
Nedderman Hall,Faculty Parking lot7,0.00117604414421
Park South,F parking Lot 12,0.00392517067904
Park,F parking Lot 12,0.00383113130399
Physical Education Building,F Parking Lot 8,0.000803337680878
Pickard Hall,F parking lot10,0.00164506195405
Preston Hall,F parking Lot 12,0.00244349421747
Ransom Hall,F parking Lot 12,0.00213414823712
Social Work Complex,F Parking lot 15,0.00075583658121
Science Hall,Faculty Parking lot7,0.00201458353756
The Lofts,F parking Lot 12,0.00392044385261
Timber Brook,F Parking Lot 8,0.00364147760422
Trimble Hall,F parking lot10,0.00232227419697
University Hall,F parking lot10,0.0016650705852
Trinity House,F Parking Lot 8,0.000686283036614
University Center,F parking Lot 12,0.00143515797322
University Police,F Parking Lot 8,0.00757072099545
UTA Bookstore,F parking Lot 12,0.00215312184685
University Village,F Parking Lot 8,0.00276271673704
Vandergriff Hall North,F parking Lot 12,0.00309923198957
Woolf Hall,F parking Lot 12,0.00173587443881
Vandergriff Hall South,F parking Lot 12,0.00333332701952
Architecture,F Parking Lot 8,0.000849718963174
Maverick Activities Center,F Parking Lot 8,0.00107703819258
Fine Arts Building,Faculty Parking lot7,0.00124554657971
Smart hospital,F Parking Lot 8,0.00113174770827
Swift Center,F Parking Lot 8,0.00503215190004
texas hall,F parking lot 9,0.000916145360213
